Orth	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
vari	because			porque					— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
vari	because			debido a					— Vasa kuu vari vii nta'a	I can't because my beautiful hands.	No puedo debido a mis mano bonitas.
vari	because			porque					Ma kua'a ña katsu vari ta sachuun , vasa nichincheu yu .	I will not give you something to eat because when I was working you would not help me.	No voy te dar algo a comer porque cuando yo estaba trabajando tú no me ayudarías.
vasa	not			no					— Kue kuni yu sachuun , vasa kutsaa	I don't want to work, I'm not available.	No quiero trabajar, no estoy disponble.
vasa	not			no					Ma kua'a ña katsu vari ta sachuun , vasa nichincheu yu .	I will not give you something to eat because when I was working you would not help me.	No voy te dar algo a comer porque cuando yo estaba trabajando tú no me ayudarías.
no'o ve'e	we go home			vamos a case					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
ve'e ti	it's home			su case					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
ve'e ti	it's house			su casa					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
vichi	now			ahora					— ¿ Vichi ra ana chinchee yu katso staa vichi ?	Now who will help me eat tortillas now?	¿Ahora quien me ayudaría comer las tortillas?
vii	beautiful			bonito					— Vasa kuu vari vii nta'a	I can't because my beautiful hands.	No puedo debido a mis mano bonitas.
in vilu	a cat			un gato					Ntatsaa ti ve'e ti , nikitsaa ti sa'a ti staa kunkatsi ti sara nikuyachi in vilu .	It arrived at it's house and began to make tortillas it is going to eat and then a cat approached.	Llegó a casa y empezó hacer las tortillas que va a comer y acercó un gato.
vilu	cat			gato					Sara niketa vilu ka kua'an ti .	Then the cat turned around and left.	Y el gato se dio la vuelta y se fue.
xaan	tomorrow			mañana					— Saan ni va'a ni xaan	No problem, tomorrow.	No hay problema, mañana.
yachi	near			cerca de					Sara niya'a yachi in ntucha luu .	And then it approached a small goat.	Y acercó una cabra pequeña.
yee	?	have to		?	tener que				— Vasa kutsaa , michumi yee nuu kunku'u yu	I'm not available, right now I have to go.	Noy estoy disponible, ahora tengo que irme.
yu	me			me					— ¿ Ana chinchee yu ?	Who will help me?	¿Quién me ayudará?
yu	me			me					— ¿ A kuu chincheu yu ?	Can you help me?	¿Puedes ayudarme?
kuni yu	I want			quiero					— Kue kuni yu sachuun , vasa kutsaa	I don't want to work, I'm not available.	No quiero trabajar, no estoy disponble.
yu	me			me					— ¿ A ma kuu chincheu yu ?	Can you not help me?	No me puedes ayudar?
tata yu	my seeds	let's insert my seeds		mis semillas	insertamos mis semillas				Nastee ko , nachi'o tata yu	Let's plant, let's lay my seed.	Vamos a plantar, plantamos mis semillas.
kunku'u yu	I'm going to			me voy a ir	me voy				— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
tsi'i ta yu soko	I am very hungry			tengo mucho hambre					— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
chincheu yu	help me			ayudame					Na'a , chincheu yu , nasachoon sara nakua'a ña katso	Come, help me, let's work, then we'll eat.	Ven, ayudame, trabajamos y entonces vamos comer.
kunku'u yu	I will go			voy a ir	me voy a ir				— Vasa kutsaa , michumi yee nuu kunku'u yu	I'm not available, right now I have to go.	Noy estoy disponible, ahora tengo que irme.
chincheu yu	help me			ayudame					Na'a , chincheu yu ,	Come help me	Ven, ayudame
kunku'u yu	I will go			voy a ir					— Vasa kutsaa , kunku'u yu ntuku ikí katsi	I can't come, I'm going to go look for pumpkin to eat.	No puedo ir, voy a buscar calabaza a comer.
yu	me			me					— ¿ A kuu chincheu yu kavu staa ?	Can you help me flip the tortillas?	¿Puedes ayudarme voltear las tortillas?
kuni yu	I want	I		quiero	yo				Kue kuni yu ki'vi yutsa nta'a —	I don't want to get dough stuck on my hands.	No quiero que la masa se atasca en las manos.
yu	me			me					— ¿ Vichi ra ana chinchee yu katso staa vichi ?	Now who will help me eat tortillas now?	¿Ahora quien me ayudaría comer las tortillas?
kuni yu	I want	I really want		quiero	quiero veramente				— mee kuni ta yu katsi staa	I really want to eat tortillas.	Yo quiero veramente comer tortillas.
yu	me			me					Ma kua'a ña katsu vari ta sachuun , vasa nichincheu yu .	I will not give you something to eat because when I was working you would not help me.	No voy te dar algo a comer porque cuando yo estaba trabajando tú no me ayudarías.
yutsa	dough			masa					Kue kuni yu ki'vi yutsa nta'a —	I don't want to get dough stuck on my hands.	No quiero que la masa se atasca en las manos.
ña	them			los					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
ña	them			los					— Nantaki'on ña , nakunaa no'o ve'e , sara stee ko ña sara ntukua'i takua koo ta nii ko	Let's gather them, let's bring them home, then we'll plant them and then it it will yield because.....	Recojamolos, los traemos a casa, y los plantamos y va a produzir porqué.....
ña	them			los					Sara satutu ti nuni luu ka , nchiso ti ña , kuanu'u ti ve'e ti .	Then it gathered the small corn kernals, carried them and went home.	Y recogó los pequeños granos de maíz, los cargó, y se fue a casa.
ña	?			?					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
ña	it			lo					Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
ña katsi	something to eat			algo a comer					— Vasa kutsaa , kunku'u yu ntuku ña katsi vari tsi'i ta yu soko	I'm not avaiable, I'm going to look for something to eat because I'm very hungry.	No estoy disponible, yo me voy buscar algo a comer porque tengo much hambre.
ña	something			algo					Na'a , chincheu yu , nasachoon sara nakua'a ña katso	Come, help me, let's work, then we'll eat.	Ven, ayudame, trabajamos y entonces vamos comer.
ña katsu	something to eat			algo a comer					Ma kua'a ña katsu vari ta sachuun , vasa nichincheu yu .	I will not give you something to eat because when I was working you would not help me.	No voy te dar algo a comer porque cuando yo estaba trabajando tú no me ayudarías.
ñu'ú	ground	land		campo					Sara nikitsaa kii ña kustee ti nuni luu ka , sara nikitsaa ti sachuun ti ntata'vi ti ñu'ú sara kachi ti :	Then day arrived (?) it plowed the small kernals, and then it said:	Y llego el día (?) arró los granos pequeños, y dijó:
ñu'ú	ground	field		campo					Nantasava'a ko ñu'ú sara nachi'o nuni takua nane'e ko ña katso	Let's prepare the ground well and then plant the corn so that we can eat it.	Preparamos bien el campo y entonces plantamos el maíz para que podemos comerlo.
ñu'ú	field			campo					Sara nuu ntsinu ntata'vi ti ñu'ú sara nikitsaa ti chi'i ti tata .	Then when it finished plowing the ground, saplings began to come through.	

