Orth	 Pron	 Note	 Note	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 Dom(sense1.i)	 POS(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	
cha				and			y					Cha ta tsana'a koo nikanchii nitsio .	And when a long time ago the sun did not exist.	Y hace mucho tiempo cuando el sol no existía.
ntakita'an				gathered			se reuniron					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
ntaku ku				you buy			compras					Tatu ntacha , sa'u ra nakuni yu ña ntaku ku ,		
ntasia'an		get this meaning, lemma!										Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
ntatu'un ra				discussed			discutieron					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
ntee				live			vive					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
ntee				lived			vivió					Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
ntee		is this past tense? what is present of this verb? would you use "ntsi-" + "ntee"?		lived			vivia					Ika ntee kue yuu na'nu , yuu va'a kue tuku .	There is where the old rocks lived, (?)/	Allí es donde las piedras vivieron,(?)
nti'a				all			todo					Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
nti'i				all			todo					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
kue ntiyata		add 'elders' as entry by itself		the elders			los ancianos					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
kuu ña ntoyo		check this phrase with speakers	get best spanish term	were lying	laid							Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
ntsaa				arrived			llegó					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
ntsaa				arrived			llegó					Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
ntsain		what is "ntsain" here?		?								Cha ntsaa kue chaa ñuu Xnuviko , uvi ntsain nchaa ra veñu'u ka , cha ntacha nikoyo nti'a , cha nikachi kuera :	And the men came from the town of Mixtepec, two (?)... the church, and it all fell down, and then they said: 	
ntsi'i				died			murió					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
ntsikuu kuena				they were			eran					Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
ntsikuu				was able to			podía					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
kuena ntsintee				they lived			vivieron					Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
ntsinu				is done			está acabado					— Vichi ra ntsinu veñu'u Ntisnuu yo'o , cha sa'u ñamani ña kuain nchau ña .	Now this church of Tlaxiaco is finished, do us a favor and kick it down.	Ahora esta iglesia de Tlaxiaco está acabada, háganos un favor y pateala abajo.
ntsinu				was finished			estaba teminada					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
ntsinu nikanchii		add to dictionary entry for sun. And add verb 'ntsinu' to dictionary (is this the same as 'finished'? if so add second sense) if not add new entry (Get recordings!)		the sun came out			salió el sol					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
ta ntsinui		there are many instances of "ta ntsinu", why is it "ta ntsinui" here? Would it be wrong to use "ta ntsinu"?		when it's done			cuando está terminada					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
ntsio				lived			vivió					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
ntsio				was alive			estaba vivo					Cha ntsio yuu ka nuu naa .	And the rock was alive with them.	Y la piedra estaba vivo con ellos.
ntsitsika				was walking			caminaba					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
				they looked for			buscaron					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
ntuva'a		is this a noun or a verb? is to construct "ntuva'a"?		constructing			costruir					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
nuu				to			a					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
nuu				at			al					Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
kuu nuu		why is 'face' here?		was where			era donde					Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
nuu kuu toto utsa		what is this place name? Parts?		at (placeName)			a donde era (placeName)					Cha kue chaa vatsi chi Xini Yuku , nikitsaa ra tsi yuu nuu kuu Toto Utsa .	And the men arrived at Head Mountain, they arrived with the rocks (?) (?) (Toto Utsa).	Y los hombres llegaron a Montaña de Cabeza, llegaron con piedra a (?) (Toto Utsa).
nuu				to	to the town		al	al pueblo				Cha ma nikuu ka tatsi kuera ña nuu ñuu .	And they weren't able to follow it into the town.	Y no pudieron seguirla en el pueblo.
nuu		what is 'face' doing here!?	are "nuu naa" part of a phrase?									Ika kuu nuu naa tu'un yata tsa'a veñu'u Xnuviko .	That was how the legend about the church of Mixtepec ends.	Este fue come termine la leyenda sobre la iglesia de Mixtepec.
nuu kuena				to them			a ellos					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
nuu̠		to me		to me	my face		a me					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
ntatu'un ra				discussed			discutieron					In kii , ntakita'an kue ntiyata , cha ntatu'un ra , ra nikachi na ña kusava'a na uvi veñu'u ; ian Ntisnuu , ian ñuu Xnuviko .	One day the elder inhabitants gathered together and had a discussion, they said that they will make two churches, one in Tlaxiaco, one in Mixtepec.	Un día los habitantes ancianos se reuniron y discutieron, dijeron que van a construir dos iglesias, una en Tlaxiaco, una en Mixtepec.
ra												Cha satutu kuera yuu , cha nikitsaa kuera sava'a ra xina ñu'u veñu'u Ntisnuu .	And so they collected rocks and they began to make the (?) of the church of Tlaxiaco.	Y entonces coleccionaron piedras y empezaron a hacer (?) de la iglesia de Tlaxiaco.
sa'u				you do			haz					— Vichi ra ntsinu veñu'u Ntisnuu yo'o , cha sa'u ñamani ña kuain nchau ña .	Now this church of Tlaxiaco is finished, do us a favor and kick it down.	Ahora esta iglesia de Tlaxiaco está acabada, háganos un favor y pateala abajo.
sa'u				you make			haces					Tatu ntacha , sa'u ra nakuni yu ña ntaku ku ,		
sa'u		you made it (fall off) (why no "ni-")		you make			haces					— Vaii , yee kua'a xeen ncheu ña ntacha sa'u .	Oh no! you're too strong, you made it fall off.	¡Ay no! eres demasiado fuerte, lo hicieron caerse.
na satutu ko				let's collect			coleccionamos					— Na satutu ko yuu , mee so yuu , cha nasava'a veñu'u , nanchee nchii kuu ña veñu'u che'e ka koo , che'e ka kana .	Let's collect stones, every stone and let's make	
satutu kuera				they collected			coleccionaron					Cha satutu kuera yuu , cha nikitsaa kuera sava'a ra xina ñu'u veñu'u Ntisnuu .	And so they collected rocks and they began to make the (?) of the church of Tlaxiaco.	Y entonces coleccionaron piedras y empezaron a hacer (?) de la iglesia de Tlaxiaco.
				they gathered			coleccionaron					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
sava'a				will make			va a hacer					Cha satutu kuera yuu , cha nikitsaa kuera sava'a ra xina ñu'u veñu'u Ntisnuu .	And so they collected rocks and they began to make the (?) of the church of Tlaxiaco.	Y entonces coleccionaron piedras y empezaron a hacer (?) de la iglesia de Tlaxiaco.
sava'a		how to translate inflection!!!???		make			hacer					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
sna'a				teach			enseña					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
snaa na		should this be "sna'a"? Is this a misprint or a possibly regional variant?		they teach			enseñan					Vichi , ma snaa na tu'un ko .	Now they don't (?) our story.	Hoy en día, no (?) nuestro cuento.
mee so				so many			tantas					Ika kuu nuu ntee kue yuu , mee so yuu nchaa , yuu nchu'a , ntaa , kuu ña ntoyo ika .	There were many rocks living there, so many big rocks, lot's of rocks, they were laying there.	Había muchas piedras vivieron allí, tantas piedras grandes, estaban allí.
suku				tall			alto					Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
sukuachi				children			niños					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
ta				when			cuando					Cha ta tsana'a koo nikanchii nitsio .	And when a long time ago the sun did not exist.	Y hace mucho tiempo cuando el sol no existía.
ta tsa na'a		literally: "since +long time"		long time ago			hace mucho tiempo					Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
ta'an												Nikachi ta'an kuera tu'un , ra nikachi kuera :		
takua				so that			para que					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
takua				because			porque					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
				they chase			persiguen					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
tatsi kuera				they chase	they chase it		persiguen	la persiguen				Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
tatsi kuera				they chased			siguieron					Cha ma nikuu ka tatsi kuera ña nuu ñuu .	And they weren't able to follow it into the town.	Y no pudieron seguirla en el pueblo.
toko ian		is this translation right? is "ian" inflected 'one' "in"?		another one			una otra					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
tono		'as' ?										Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
ta tsa na'a		literally: "since +long time"		long time ago			hace mucho tiempo					Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
tsa'a				about			sobre					Ñaño'o ra tu'un yata tsa'a uvi veñu'u .	This story is about the two churches of our town.	Este cuento trata de dos iglesias de nuestro pueblo.
tsa'a				about			de					Ika kuu nuu naa tu'un yata tsa'a veñu'u Xnuviko .	That was how the legend about the church of Mixtepec ends.	Este fue come termine la leyenda sobre la iglesia de Mixtepec.
tsana'a				a long time ago			hace mucho tiempo					Cha ta tsana'a koo nikanchii nitsio .	And when a long time ago the sun did not exist.	Y hace mucho tiempo cuando el sol no existía.
tsi				with			con					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
tsian				with them			con ellas					Ika nikitsaa kuera tsian .	There they left with them.	Allí dejaron con éllas.
yata tu'un				tale			cuento					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
tu'un yata				tale			cuento					Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
tu'un												Yo'o kuntakani in tu'un yata nuu kuena , na kuni kuni tu'un yata , nchii tu'un kaa kuu ña ntsio ñoo .	I will tell a tale to everyone, to those that want to know the story, (?) what (?) lived in our town.	
				legend			cuento					Ika kuu nuu naa tu'un yata tsa'a veñu'u Xnuviko .	That was how the legend about the church of Mixtepec ends.	Este fue come termine la leyenda sobre la iglesia de Mixtepec.
tu'un				story			cuento					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
tu'un ko				our story			nuestro cuento					Vichi , ma snaa na tu'un ko .	Now they don't (?) our story.	Hoy en día, no (?) nuestro cuento.
va'a kue tuku		what is this whole phrase?										Ika ntee kue yuu na'nu , yuu va'a kue tuku .	There is where the old rocks lived, (?)/	Allí es donde las piedras vivieron,(?)
uvi				two			dos					Ñaño'o ra tu'un yata tsa'a uvi veñu'u .	This story is about the two churches of our town.	Este cuento trata de dos iglesias de nuestro pueblo.
va'a kue tuku		what is this whole phrase?										Ika ntee kue yuu na'nu , yuu va'a kue tuku .	There is where the old rocks lived, (?)/	Allí es donde las piedras vivieron,(?)
vari				because			porque					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
vatsi				arrived	arrived at Head Mountain		llegó	llegó a la Montaña de Cabeza				Cha kue chaa vatsi chi Xini Yuku , nikitsaa ra tsi yuu nuu kuu Toto Utsa .	And the men arrived at Head Mountain, they arrived with the rocks (?) (?) (Toto Utsa).	Y los hombres llegaron a Montaña de Cabeza, llegaron con piedra a (?) (Toto Utsa).
vatsia				came			lleguó					Cha ntuku kuera yutu , cha satutu kuera yuu , nikututu yuu ka ra nikitsaa tatsi kuera yuu ka , vatsia kuu tu'un ña tono kue yuu ka ra ntsikuu ntsitsika mii , tatsi kuera ña .	And so they looked for trees, and they collected stone, they gathered  stone then they began to go after(?)	
vatsia				came	came to (?)	came from (?)	llegó	vinó a (?)	vinó de (?)			Vatsia , cha ñaka kua nikitsaa kue chaa , vatsia ñuu Nkuiin , nikitsaa kuera nuu ñuu nani Yuku  Mi'in tsi yuu .	They came, and (?)...(?) the men arrived, they came to (placeName), they arrived at a town called (placeName) with the rocks.	Vinieron, y (?)...(?) los hombres vinieron, llegaron (a|de) (?), llegaron a un pueblo llamado (placeName) con las piedras.
veskua'a		get meaning! POS?										Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
veñu'u				church			iglesia					Ñaño'o ra tu'un yata tsa'a uvi veñu'u .	This story is about the two churches of our town.	Este cuento trata de dos iglesias de nuestro pueblo.
veñu'u ntisnuu				church of Tlaxiaco			iglesia de Tlaxiaco					Cha satutu kuera yuu , cha nikitsaa kuera sava'a ra xina ñu'u veñu'u Ntisnuu .	And so they collected rocks and they began to make the (?) of the church of Tlaxiaco.	Y entonces coleccionaron piedras y empezaron a hacer (?) de la iglesia de Tlaxiaco.
veñu'u ntisnuu				Tlaxiaco's church			iglesia de Tlaxiaco					Cha nikasachuun kuera , nikuva'a veñu'u Ntisnuu , ra ntsaa kue nivi , na ntee Xnuviko yo'o , cha nikachi kue chaa Ntisnuu :	And they worked and built Tlaxiaco's church, and the people arrived, people that lived here in San Juan Mixtepec, and then the men from Tlaxiaco said:	Y trabajaron y construyeron la iglesia de Tlaxiaco, y la gente llegó, la gente que vivieron aquí en San Juan Mixtepec, y los hombres de Tlaxiaco dijeron:
veñu'u ntisnuu				church of Tlaxiaco			iglesia de Tlaxiaco					— Vichi ra ntsinu veñu'u Ntisnuu yo'o , cha sa'u ñamani ña kuain nchau ña .	Now this church of Tlaxiaco is finished, do us a favor and kick it down.	Ahora esta iglesia de Tlaxiaco está acabada, háganos un favor y pateala abajo.
veñu'u ntisnuu				the church of Tlaxiaco			la iglesia de Tlaxiaco					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
veñu'u xnuviko				the church of Mixtepec			la iglesia de Mixtepec					Ta ntsinui , cha nako'on ñuu Xnuviko , sava'a toko ian takua inuu nakoo veñu'u Ntisnuu tsi veñu'u Xnuviko .	When it's done, then let's go to Mixtepec, we'll make another one so that the church of Tlaxiaco and the church of Mixtepec will be identical.	Cuando está terminada, vamos a Mixtepec, vamos hacer una otra para que la iglesia de Tlaxiaco parece idéntica a la iglesia de Mixtepec.
veñu'u ntisnuu				the church of Tlaxiaco			la iglesia de Tlaxiaco					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
veñu'u ntisnuu				the church of Tlaxiaco			la iglesia de Tlaxiaco					Ika nikunumi kuera ntuva'a veñu'u Ntisnuu , cha ntsinu veñu'u Ntisnuu cha nikachi kuera :	And there they hurried the construction of the church of Tlaxiaco, and then the church of Tlaxiaco was finished, then they said:	Y allí se daron prisa a construir la iglesia de Tlaxiaco, y cuando la iglesia de Tlaxiaco estaba terminada, pues dijeron:
veñu'u xnuviko				the church of Mixtepec			la iglesia de Mixtepec					Ika nikitsaa kuera cha ntsinu nikanchii , cha ma nikuu ka kuva'a veñu'u Xnuviko vari ntsi'i kue yuu ka .	They arrived there and the sun came out, and they weren't able to build the church of Mixtepec because the rock died.	Llegaron allí y el sol salió, y no pudieron construir la iglesia de Mixtepec porque murieron la piedra.
veñu'u xnuviko				church of Mixtepec			iglesia de Mixtepec					Ika kuu nuu naa tu'un yata tsa'a veñu'u Xnuviko .	That was how the legend about the church of Mixtepec ends.	Este fue come termine la leyenda sobre la iglesia de Mixtepec.
veñu'un				church			iglesia					Ian veñu'u Ntisnuu , ra in veñu'un ña ñuu ña kuu Xnuviko yo'o .	There was a church in Tlaxiaco, and one in this town of Mixtepec.	Había una iglasia en Tlaxiaco, y una en este pueblo de Mixtepec.
yee kua'a xeen ncheu				you're too strong	a lot	too much	eres demasiado fuerte	mucho	demasiado			— Vaii , yee kua'a xeen ncheu ña ntacha sa'u .	Oh no! you're too strong, you made it fall off.	¡Ay no! eres demasiado fuerte, lo hicieron caerse.
xina		check on this		it's roof								Cha satutu kuera yuu , cha nikitsaa kuera sava'a ra xina ñu'u veñu'u Ntisnuu .	And so they collected rocks and they began to make the (?) of the church of Tlaxiaco.	Y entonces coleccionaron piedras y empezaron a hacer (?) de la iglesia de Tlaxiaco.
yata		check		old	the people were old and small		anciano	la gente eran ancianos y pequeños				Cha kue nivi yata luu , kuena ntsintee ta tsa na'a , cha nivi na'nu , suku ntsikuu kuena .	And the people were old and small, they lived a long time ago....(and big people), the people were tall.	
				legend			cuento					Ika kuu nuu naa tu'un yata tsa'a veñu'u Xnuviko .	That was how the legend about the church of Mixtepec ends.	Este fue come termine la leyenda sobre la iglesia de Mixtepec.
yata				elderly			anciano					Ño'o kuu in tu'un luu , nine'e ntakani nivi yata luu nuu̠ , ra ntasia'an ña yo'o takua nakintoi nuu kuena sna'a ña , tsi kue sukuachi veskua'a , takua nti'i kuena kuntakua'nu .	That was a short story, (?) small old people told to me,	
yee kua'a xeen ncheu				you're too strong			eres demasiado fuerte					— Vaii , yee kua'a xeen ncheu ña ntacha sa'u .	Oh no! you're too strong, you made it fall off.	¡Ay no! eres demasiado fuerte, lo hicieron caerse.
yo'o				this	here		esta	here				— Vichi ra ntsinu veñu'u Ntisnuu yo'o , cha sa'u ñamani ña kuain nchau ña .	Now this church of Tlaxiaco is finished, do us a favor and kick it down.	Ahora esta iglesia de Tlaxiaco está acabada, háganos un favor y pateala abajo.
		check! "nakuni yu" 'I will want?'										Tatu ntacha , sa'u ra nakuni yu ña ntaku ku ,		
chincheu yu				help ma			ayudame					Cha vichi ra chincheu yu , nantasava'a ña .	And now you help me make it.	Y ahora ayudame construirla.
