Orth	  Pron(1)	 Pron(Pastor and Beam de Azcona)	 Pron(Pike and Ibach)	 Pron	 Pron	 Dom(sense1.i)	 Dom(sense1.ii)	 POS(sense1)	 EN(sense1.i)	 EN(sense1.ii)	 EN(sense1.iii)	 ES (sense1.i)	 ES (sense1.ii)	 ES (sense1.iii)	 LA (sense1.i)	  LA (sense1.ii)	 Def(sense1)	 Example (sense 1)	 Example (EN)	 Example (ES)	 Dom(sense2.i)	 Dom(sense2.ii)	 POS(sense2)	 EN(sense2.i)	 EN(sense2.ii)	 EN(sense2.iii)	 ES (sense2.i)	 ES(sense2.ii)	  ES(sense2.iii)	 Def(sense2)	 Example (sense 2)	 Example (sense 2) (EN)	 Example (sense 2) (ES)
kuya'vi						Economy		verb	to sell	to be sold		vender	venderse					Ika kuya’vi nchai.	Food is sold there.	Se vende comida allí.													
sama						Economy	Currency	verb	to exchange	to change		cambiar						Na sama.	Let's exchange.	Vamos a intercambiar.													
xiko						Economy		verb	to buy	to purchase		comprar																					
sa'ma	sàʔmá	saʔmàá				Clothing		noun	clothes			ropas																					
sa'mo	sáʔmò					Clothing		noun	shirt			camisa																					
su'nu			su˩ʔnu˩˥			Clothing		noun	shirt			camisa																					
tsatu	tsát̪ù					Clothing		noun	pants																								
xini	ʃìní					Clothing	Head	noun	hat			sombrero																					
xio		ʃìoò				Clothing	Woman	noun	dress	falda																							
pain		páiì				Clothing	Woman	noun	shall																								
ntsitsa	ntsítsà			ndzídzà		Clothing	Foot	noun	shoes			zapatos									Clothing	Foot		sandal			chancla	huarache					
kotoo	kotóo	kotóo				Clothing		noun	serape			sarape																					
kii	kìí			kìjí		Time		noun	day			día																					
tsini						Time	Day	noun	afternoon			tarde																					
hora	óra					Time		noun	hour			hora																					
vichi						Time		noun	today			hoy																					
takuni	t̪ákùni					Time			yesterday			ayer																					
ta'kuñu	t̪áʔkùɲũ̀ũ̀					Time		noun	the other day																								
xchaan	ʃʧàà		sʧã˩ã˩			Time		noun	tomorrow			mañana									Time			morning			mañana						
isa	i˧sa˧˩					Time		noun	the day after tomorrow			passado mañana																					
kuia	kwi˩a˩					Time		noun	year			año						Cha tsiko nui in kuia.	And it takes one year to orbit.	Y hace un año para girarse alrededor													
yoo ichi						Time	Season	noun	spring									Yoo ichi kuu febreru mancha avri.															
yoo savi						Time	Season	noun	summer			verano						Yoo savi kuu mayo mancha septiembre.	The Rain season is from May to September.	La estación de lluvia dura de mayo hasta septiembre.													
yoo vitsi						Time	Nature	noun	winter			invierno																					
enero	enéru					Time	Months	noun	January			enero																					
febreru	febréru					Time	Months	noun	February																								
marsu	mársu					Time	Months	noun	march																								
avri	avrí					Time	Months	noun	April																								
mayo	máju					Time	Months	noun	May																								
juniu						Time		noun	June																								
						Months		noun	July																								
						Months			August																								
oktubre	okt̪úbre					Time	Months	noun	October																								
noviembre	novjémbre					Time	Months	noun	November																								
						Months			December																								
lonix	lónìʃ					Time	Days	noun	Monday																								
marstix	márstìʃ					Time	Days	noun	Tuesday																								
mercolix	mérkoliʃ					Time	Days	noun	Wednesday																								
juevixi	wévìʃ					Time	Days	noun	Thursday																								
viernix	βiérniʃ			viérniʃ		Time	Days	noun	Friday																								
suetu	swét̪ù					Time	Days	noun	Saturday																								
domingo	domíŋgo					Time	Days	noun	Sunday																								
tsa'nu	tsáʔnũ̀					Age	living being	adj	old, elderly																								
yata	jatá		ja˧ta˥			Age	InanimateObject	adj	old			viejo																					
tsaa	tsáà		tsa˩˥a˧			Age	InanimateObject	adj	new			nuevo																					
ntutsaa								verb	to renew			renovar																					
va'a								adj	good	well		bueno	bien																				
vá'a			va˩˥ʔa˧					adj	bad			malo						Chaa vá'a kui	The man is bad														
kue	kwè							adverbial	not			no																					
ma	mà					Grammar		particle	will not			no va						Cha nuu ntsini kue nivi ña ma kuu sa’a na ña cha’ncha yutu ka	And then the people realized that they would not be able to chop down the tree.	Y entonces la gente se daron cuento de que ello no irían reusir a cortar el árbol.													
aan	ãã							interjection	yes			sí																					
uun	ũũ	ũũ						interjection	yes			sí																					
a'an	ã̀ʔã́							particle	no			no																					
kue	kwe					Grammar		particle																									
in	ĩĩ					Grammar		artcl									indefinite article																
iki	ikí					Grammar		determiner	that			aquel																					
ika	iká					Grammar		determiner	that			aquel									Grammar	Location	adv	there			allí	ahí	allá				
inka						Grammar		pron	the other			el oltro									Grammar		adj	other			oltro						
ni	nì							adv	only			solamente																					
jo'o	jóʔó					Grammar		dem	this			este									space			here			aquí						
ñaká	ɲàká							dem	that (thing)			aquella (cosa)																					
ñáká	ɲáká							dem	that (woman)			aquella (mujer)																					
nuu inkaa yu	nũ̀ũ̀ ŋk̬àà jù					space		adj	right here	where I am		aquí mismo																					
inka						space		adv	over there			allí											pron	(the) other							Tu'un yata ñaña'a kua'in tsi inka chaa		
michuni	mìʧùnì					Time		adv	right now			ahora						Michuni ku'un yu.															
vichi						Time		adv-temp	now	currently		ahora	en este momento					skuachi ñami vichi
                  															
vichi vichi								adv	quick	quickly		rápido	rápidamente																				
ta	t̪a					Time		adv	time when	then		entonces																					
na'a	nàʔá					Time		adv	time when, then																								
nini	nìnì					Time		adv	late	tarde																							
kani	kánì					space		adj adv	long			lungo																					
yachi	jatʃi		ja˧tʃi˧			space		adv	near			cerca																					
kuyachi						space	Motion	verb	to approach			approximarse																					
suku	súkù		su˥ku˩			Altitude		adj	high			alto						Suku ncho'a iin viko.	The clouds are very high up (in the sky).	Las nubes estan muy altos (en el cielo).			adv										
niña'a	nìɲáʔà							pron	none			ningun																					
kooña'a	kòóɲáʔà							pron	nothing			nada																					
koona	kòónà							pron	nobody			nadie																					
xoo	ʃòó							quantifier	some																								
xoona	ʃòónà							quantifier	some (people)																								
kua	kwà							adv	cerca																								
nti'i	nd̪íʔì			nt̪íʔì				quantifier	everything			todo																					
nti'i na	nd̪íʔìnà			nt̪íʔìnà				pron	everyone			todos											adv										
in	ĩ́ĩ́					Proportion		quantifier	whole																								
ma'in	màʔĩ́					Proportion		quantifier	half			la metad																					
kuu								copula	be			ser																					
kaa	kā̄ā			kaa				verb	be			ser																					
kaa	káá					Motion		verb	climb			climb									Motion			get on	to board		subir	embarcar			Nikaa kue nuu metro.	We got on the metro.	Subimos en el metro.
inkaa	iŋk̬aà					Location		cop-loc	to be located			estar																					
nti-								prefix	every			cada						Su'a na'a ntikumi tsio tono chi Kuchi, chi Ninu, chi Kua'a tsi chi Sachi.															
ni	nì					Grammar																											
na-	nà																repetitive prefix																
tsi	tsì					Grammar		conj															conj										
cha	tʃà					Grammar		conj-coord	and			and									Grammar			then			entonces						
ntava	nt̪ávà					Animal_flight	Motion	verb	to fly			volar																					
ncho'a	nʤóʔà								very	a lot		mucho	muy																				
ka	ká							particle																									
takua						Discourse		conj	because			porque									Discourse		adv	therefore			entonces						
sava'a						Construction		verb	to do			to make																					
ko'on	kõ̀ʔõ̀					Motion		verb	to leave	to go		ir																					
ku'u						Motion		verb	to go			ir																					
kunu	kũ̀nũ̀					Motion		verb	flee																								
kitsaá						Motion		verb	begin			empezar																					
ntsaa						Motion		verb	arrive			llegar																					
ntivi						Motion		verb	enter			entrar																					
ki'vi						Motion		verb	enter			entrar												interrupt			interrumpir						
ke'e	kéʔè					Senses		verb	touch			tocar																					
kunchee						Senses	Vision	verb	to see			ver									Vision	Object-based_attention		to look at			mirar						
tsito						Vision		verb	to watch			mirar									Vision		verb	be visible			ser visible						
tsa'an	tsã́ʔã̀					Senses	Olofaction	verb	to smell			olear	olear										noun										
ntsini so'o						Senses		verb	to hear			oír						Sara in chaa ntuku tutú ntsini so’o ra ña nta’ia ta ntsa’an ra ntsanche’e re nuu ñantu’i.	Then a man looking for wood heard the crying and came up to and saw where the boy was sitting down.	Y un hombre buscando madera oyó los gritos y vinó y vió dónde el niño se estaba sentado.													
kuchaa so'o						Senses		verb	listen			escuchar																					
soko								noun	hunger			hambre						Tsi'i yu soko.	I'm hungry.	Tengo hambre.													
ichi						Biological Need	Hydration	verb	to be thirsty			tener sed						Ichi yu.	I'm thirsty.	Tengo sed.													
nto'o	ndòʔó					health		verb	feel sick	be sick		estar enfermo																					
stata			sta˥ta˥			Medicine		verb	to cure (someone)			curar (à alguien)																					
kwatsa						Emotion		adj	happy			feliz																					
kwacha	kwáʧá					Emotion		verb	to be happy			ser feliz																					
ntakani'ini ncho'a	ndakani inì nʤóʔà					Emotion		verb	to be sad			ser triste									Emotion			to worry	to be worried		preocuparse						
nto'o ini	ntó'o inì					Emotion		verb	to worry			preocuparse						Nto'o ini yu	I'm worried	Estoy preocupado													
ntasaa	nt̪̬asàá					Emotion		verb	to become angry	to get angry	to get mad	enojarse																					
kuaku						Emotion		verb	cry			llorar						tsaku nchu'í	She cries a lot	Llora mucho ella													
kuaku						Emotion		verb	laugh			reírse						Tsáku nchu'í.	She laughs a lot.	Se rie mucho ella													
sna'a			snáʔà					verb	to learn			aprender												to teach			enseñar						
skua'a	skwáʔá					Cognition		verb	to study			estudiar																					
ska'an			skã˥ʔã˩					verb	to interpret			interpretar																					
ntakani ini	nd̪akaniinì					Cognition		verb	to think			pensar																					
ka'án						Cognition		verb	to think			pensar						Ka'án ra.	He's thinking	Él está pensando.													
kukunini	kùkùnínì					Cognition		verb	understand			entender																					
sana						Cognition		verb	forget			olividar																					
ntivi	ndíví							verb	break			quebrar						Ntakani na nuu ña ntivi karru ku.	Someone told me that your car broke down.	Alguien me dijó que tu coche se estropeó.			adj	spoiled			espaloso						
skaa	skàá							verb	bring up																								
xnuu	ʃnũ̀ũ							verb	bring down from			bajar de																					
kanumi								verb	hold	hug	embrace																						
katavi								verb	push															press									
kani	kání					Physical Impact		verb	strike	hit		golpear						Sutu ka nikani yu.	The priest hit me.	Me golpeó el sacerdote.													
skuachi	skwáʧì							verb	cut			cortar												break (into pieces)			romper						
ka'ncha								verb	chop			cortar																					
tsitsi			stsi˥˩tsi˧					verb	to filter			filtrar																					
xchi'i			stʃi˥ʔi˩					verb	to grind			moler																					
skiti	skíti					Cooking		verb	to boil			hervir																					
tsitsi								verb	sew			coser						Kikuu sa'ma.	I'm sewing the clothes.														
chuun	tʃũũ					Human Activity	Economy	noun	work			trabajo						Ntsaa kue nuu chuun.	We arrived at work.	Llegamos a trabajo.													
sachuun	sàʧṹṹ			sàʧũṹ				verb	to work			trabajar																					
skuchi	skuʧì							verb	to wash																								
ka'vi	kaʔvì							verb	read																								
tana'a	ndanàʔà							verb	draw																								
ka'ni	kàʔní							verb	kill			matar																					
tsa'a								verb	give			dar																					
ki'in	kĩ́ʔĩ							verb	take, take(x).away.from(y)																								
nikuu								verb	happen			passar																					
ka'an	káʔã					Communication		verb	speak	say	talk	hablar	decir					A ka'an ku Sa'an Savi?	Do you speak Mixtec?	Hablas Mixteco?													
ka'an so						Speech		verb	speak up			hablar más alto						Ka'an so ku!	Speak up!	Habla más alto!													
kacha	katʃa					Communication		verb	talk	say		decir						¿Nchii kachu?	What are you talking about?														
kana	kánà							verb	to yell			gritar																					
kata	kát̪à					Communication		verb	whisper																								
ntakani	ndakánì					Communication		verb	tell			contar	decir																				
ntakani ntaa	ndakaní ntaa					Communication		verb	to tell the truth			decir la verdad						Nntakani ntaa yu!	I'm telling the truth!	Estoy diciendo la verdad!													
kachi						Communication		verb	tell	say	recount	contar	decir																				
nantakani	nandakánì							verb	re tell			decir de nuevo																					
sivi			si˥vi˩˥			Nomenclature		noun	name			nombre						sivi kuu...	my name is...														
tanta'a	tandàʔá							verb	to get married			casarse																					
kati						Light		noun	shade			sombra																					
nchii	nʤìí					Light		verb	to shine			brillar																					
ntsa'i						food		adj	rotten																								
ntsichí								adj	ripe																								
kuchi						Harvest	botany	verb	be ripe			ser maduro																					
nchichi	nʤiʧì							adj	difficult			dificíl																					
kixi	kìʃí					Texture		adj	sticky																								
ntsitsa	ntsìtsá					Texture	Texture	adj	rough	strong	hard																						
yuchá	juʧá					Texture		adj	soft																								
ntavi	ndávì					SocioEconomics		adj	poor			pobre									Economics			to owe			deber				Ntasa’a xu’un na ntavi yu	I paid back the money I owed.	Yo pagué el dinero que yo debía.
xchila	sʧílà					SocioEconomics		adj	rich			rico									Nationality			foreign			extranjero						
ii	ìí					Religion		adj	sacred			sagrado																					
xeen	xẽ˧˩ẽ˥					health		adj	dangerous			peligroso												sharp			afilado						
mancha						Time		adv	until			hasta									space			up to			hasta						
xina	ʃìnà							adv	before			antes																					
in	ĩ́ĩ́					Time		adv	simultaneously			simultaneamente																					
tsa'an	tsã̀ʔã́					Pace		adv	fast			rápido																					
kuee	kwẽ́ẽ̀	kwẽ́ẽẽ̀				Pace		adv	slow			lento	despacio					Kuee nu ka'a ni.	Speak slower.	Halble más lento.													
kuee ni kuee ni	kwè ni kwè ni					Pace		adv	little by little			poco a poco																					
nika'i	nìkàʔi							verb	to make fire			encender un fuego																					
chakui	ʧákuì							verb	be alive			estar vivo																					
ntsi'a	ntsìʔà							verb	be dead			estar muerto																					
yee								verb	to live	to reside		vivir						¿Dónde vive usted?	Where do you live?	¿Dónde vive usted?				to be			ser	estar			¿A yee va'u?	¿Estás bien?	
Kotsuu						Time		noun	noon			medio día																					
Kotsuu Ñuu						Time		noun	middnight	media noche																							
ntasaxeen								verb	sharpen			afilar																					
katsi	kát͜si					BiologicalNeed	Ingestion	verb	eat			comer									Senses			to taste			saber				katsia va'a/va'á	to taste good/mad	sabe bien/malo
ntsitsa'an	nt͜sit͜sã́ʔã					BiologicalNeed	Ingestion	verb	eat			comer																					
ko'o	kóʔo					BiologicalNeed	Ingestion	verb	drink			beber																					
kusu						BiologicalNeed		verb	sleep			dormir						Nikixi ra	He slept	Él durmió													
ti						Grammar	Animal										enclitic to inflect where argument is an animal.				Grammar	Animal								Where enclitic is extended in coreference to an animal.			
ta'an ini								verb	to like			gustarse						Tá’an ini yu yāā yó’ó.	I like this music.	Me gusta esta música.													
tsitsa'an ini						Emotion		verb	to like			gustarse																					
ntusi xeen ini						Emotion		verb	hurt one's feelings			herir los sentimientos																					
teen	tẽẽ́́					Bodily Fluid		noun	sweat	perspiration		sudor																					
ini	iní							prep	inside	in		adentro	en					Containment			Spirituality			soul			anima						
ichi						space		noun	road	path		camino									Light			shadow			silueta						
tata			ta˩ta˩˥					noun	medicine			medicina																					
tutu			tũ˩tũ˥			Element	Fuel	noun	charcoal			carbón vegital																					
ntaa			ta˥a˥			Geometry		adj	straight			recto	derecho														directly	directo			Ntaa ka’un	Speak directly	Habla directamente
ntaa xeen								adv	correct	correctly		correcto	correctamente																				
yavi								noun	key			llave						ntsika yu yavi takua kuntivi'i nuu kuartu ka.	I asked for the key so that I could get into the room.														
nta'a kaa								noun	key			llave																					
																																	
yavi			ja˧˩vi˩					noun	hole			agujero	hueco																				
mee	méé					Grammar		pron	me	myself		me	mí	yo				¿A nche'u mee?	Do you see me?	¿Me ves?													
meeko	méé k̬ó					Grammar		pron	us	ourselves		nós	nós mismos					¿A nche'u mee ko?	Do you see us?	¿Nós ves?													
meekue	méé we					Grammar		pron	us	ourselves		nós	nós mismos					¿A nche'u mee kue?	Do you see us?	¿Nós ves?													
meu	meeú					Grammar		pron	you	yourself		te	tu mismo					Nche'e ku.	I see you.	Te veo.													
meeni	meení					Grammar		pron	you	yourself		usted	usted mismo					Nche'e meeni.	I see you.	Te veo.													
meekueni	mééwení					Grammar		pron	you	yourselves		ustedes	ustedes mismos					Nche'e meekueni.	I see you guys.	Les veo.													
meekueyu	mééweju					Grammar		pron	you	yourselves		ustedes	ustedes mismos					Nche'e meekueni.	I see you guys.	Les veo.													
meena	méénà					Grammar		pron	them	themselves		se mismos						Nche'e meena.	I see them.	Les veo.													
míi	míi					Grammar		pron	her	herself		ella	se misma					Nche'e míi.	I see her.	La veo.													
mii						Grammar		pron	him	himself		él	lo	se mismo				Nche'e mii.	I see him.	Lo veo.													
meekuena	méé we nà					Grammar		pron	them	themselves		les	se mismos					Nche'e meekuena.	I see them.	Los veo.													
meera	méé rà					Grammar		pron	him	himself		él	lo	él mismo				Nche'e meera.	I see him.	Lo veo.													
meekuera	méé we rà					Grammar		pron	them	themselves		éllos	los	éllos mismos				Nche'e meekuera.	I see them.	Los veo.													
meekueyi						Grammar		pron	them	themselves		ellos	ellos mismos					Nche'e meekueyi.	I see them.	Los veo.													
meekueyí	méé we jí					Grammar		pron	them	themselves		ellas	ellas mismas					Nche'e meekueyí.	I see them (the women).	Las veo.													
meetsi						Grammar		pron	them	themselves		ellos	ellos mismos					Nche'e meetsi.	I see them (the child).	Lo veo.													
meekuetsi						Grammar		pron	them	themselves		ellos	ellos mismos					Nche'e meekuetsi.	I see them (the children).	Los veo.													
meeya						Grammar		pron	He	Him	Himself	El	él mismo					Nche'e meeya.	I see it (the deity).	Lo veo.													
meeti						Grammar		pron	it	itself		lo	él	él mismo				Nche'e meeti.	I see it (the animal).	Lo veo.													
meekueti						Grammar		pron	them	themselves		los	éllos	éllos mismos				Nche'e meekueti.	I see them (the animals).	Los veo.													
taxi			ta˧xi˥			Sound		adj	quiet			silencio																					
vii			vi˧˥i˥˩			Aesthetics		adj	pretty			beautifull	bonito	linda							health			healthy	healthy looking		sano						
ntuvii						Sanitation		verb	become clean			volverse limpio																					
che'e		tʃeʔé				Aesthetics		adj	cute	beautiful		bonito	lindo																				
iin	ĩ́ĩ							verb	there is			hay																					
tsaku			tsa˥˩ku˩			Livestock	Agriculture	noun	pen	corral		corral																					
naa			na˧˩a˥					verb	carry (in arms)			cargar																					
vee	ve˩e˧					Weight		adj	heavy			pesado																					
tsavi			tsa˩vi˩˥			Candy		noun	chewing gum			chicle																					
tsa'un			dzã˩˧ʔũ˧			Fire		adj	smoked			fumado																					
ntutu			du˩tu˩˥			Sound		adj	whistled			silbado																					
kuiñu			kwi˥ɲũ˥			health		noun	swelling			hinchazón																					
nto'o	nt̬òʔo					Material	Building	noun	adobe brick			adobe																					
ana	ána			ánà		Grammar		pron	who			quién						¿ana nikitsaa	Who arrived	¿Quién llegó?													
nchii	ndʒìi					Grammar		adv	what	which		qué	cuál					¿Nchii nikuu?	What happened?	¿Qué pasó?													
nchii kii	ndʒìi kií					Time	Grammar	adv	what time			qué hora						¿Nchii hora kui?	What time is it?	¿Qué hora són?													
nchii hora	ndʒìi óra					Time	Grammar	adv	when			when																					
nixi								adv	how			cómo											conj										
nchíí	ndʒíí					space	Grammar	adv	where			dónde						¿Nchíí inkaa vilu?	Where's the cat?	¿Dónde está el gato?													
chanu va'a						Grammar		adv	why	how come		por qué						¿Chanu va’a yee ntuu tsi tsikuaa?	Why is there day and night?	¿Por que hay el día y la noche?	Grammar		conj	why			por qué				¿A tsini kueni chanu va'a kue tiin tsa’a chuxa ka??	Do you know why the daddy longlegs doesn't have all its legs well attached?	¿Saben ustedes por qué el segador no tiene todas las patas bien fijas?
tsio			tsi˩o˥			Cooking	food	noun	griddle	comal		comal																					
xain	ʃã˥ĩ˧					space		noun	boundary			límite																					
xanu			ʃa˥nu˩			Tobacco		noun	cigar			puro	cigarro																				
xa'nu		ʃáʔnũ				Tobacco		noun	cigarette			cigarillo	cigarro																				
tsatu		tzàtù				food	Taste	adj	spicy			picante																					
tsatu		tzàtú				Death	Container	noun	coffin			ataúd																					
ñuma	ɲũ̀mã́					Material		noun	wax			cera																					
iya						Taste		adj	sour			agrio						kai tono manzana luu cha iya ña	and it looks like a small apple and it is sour														
uva		ùvà				food	Taste	adj	sour			agrio																					
cha'a			tʃa˥ʔa˥			food		noun	gravy			juego de carne																					
kasu						Cooking		verb	toast (something)			tostar (algo)																					
ntita'in	nd̪itã́ʔĩ́							verb	be stingy	be cheap		ser tacaño											adj										
kiku						Occupation		noun	tailor			sastre																					
kuntsa'nu						Occupation	Government	noun	queen			reina									Occupation	Government		gobernadora									governor (female)
viko						Social Event		noun	party			fiest																					
vari						Grammar		conj	because			porque						ma ka'un vari  yau	don't talk because you will fall	no hablas porque cayeras													
kuun titsi						Illness	Bodily Function	noun	diarrhea			diarrea																					
su'nu						Clothing		noun	blouse			blusa																					
yata						Tool	Agriculture	noun	plow			arado																					
tani						botany		noun	soyate oil			soyate	palma soyate																				
sketa						Motion		verb	run			correr																					
skee						Agriculture		verb	pick	harvest		pizcar												pinch			pellizcar						
tixii						Insect		noun	tick			garrapata																					
kanta						Motion		verb	jump			brincar	saltar																				
sa'a						Activity		verb	to do	to make	to build							Va’a ra nisa’a na ve’e ka	The house was well built														
kuiñu						Emotion		noun	zeal			celos																					
sé'e						Communication		noun	secret			segreto																					
cho'ó						Insect		noun	flea			pulga						Kunchee cho'ó ka.	Look at this flea.	Mira esa pulga.													
iki						food	Pastry	noun	pastry			masita																					
ntáku						food		noun	pozole			pozole						Kua'a ni ntáku	Give me the pozole.	Deme el pozole.													
yuku						Agriculture		noun				surko																					
yuu						Landscape		noun	creek	stream		arroyo																					
ntakuacha						Hygiene		verb	to wash			lavarse																					
kuni						Senses	Perception	verb	to see			ver						¿A tsini ku ña?	Do you see it?	¿Ves esto?	Cognition			to know			saber				Kúni yu kuni yu nixi nani chaa ka. Ntsini yu.	I want to know that man's name.	Quiero saber como se llama aquel hombre.
ntsio								verb	to live			vivir																					
ne'e								verb	to get	to obtain		conseguir												to earn			ganar						
ntane'e								verb	to find			encontrar																					
ntatutu								verb	to collect	to gather		juntar	collecionar																				
ntuku								verb	to look for	to search for		buscar a																					
ntantuku								verb	to find			encontrar												to pick up			recoger						
tsini						Cognition	Volition	verb	to want			querer						Kúni yu tsatsi staa.	I want to eat tortillas.	Quiero comer tortillas.													
nchikaa								verb	to put			poner																					
tu'un	tũ̀ʔṹ							verb	to pull			tirar																					
tsini ñu'u								verb	to have to	to need		tener que	necessitar 					Tsini ñu'u̱ ntakuaan ña katsi	I need to buy something to eat.	Tengo que comprara algo a comer.													
ntaka tu'un						Communication		verb	to ask			pregunar						Nantaka tu'un nchii ku'un yu.	I should ask where to go.	Debería pedir dónde irme.													
nto'o	ntóʔo							verb	to experience			experiementar																					
kuu	kúu							verb	be able to	can		poder						Cha nuu ntsini kue nivi ña ma kuu sa’a na ña cha’ncha yutu ka	And then the people realized that they would not be able to chop down the tree.	Y entonces la gente se daron cuento de que ello no irían reusir a cortar el árbol.													
kunchee								verb	to be able to			poder																					
kaka						Motion		verb	walk			caminar						Tsíka ra chi nuu inkaa yu.	He's walking towards me.	Él camina hacia mi.													
kuanu'u	kwa nũʔũ̀					Motion		verb	to go home			ir a casa						Sara ntsa’an ra niki’in ra ntixi nchikaa ra nuu yavi sara kuanu’u ra.	Then he went out and got the pulque, he put it on the agave and went home.	Y fue y consiguió el pulque, lo puso en el agave y fue a casa.													
kunchatu								verb	to wait			esperar						kunchatu!	wait!	espera!													
ti'i	tíʔì							verb	to hold			tener																					
tava								pos	take out			sacar						Tava mi'in.	Take out the trash.	Saca la basura.													
mi'in								noun	garbage	trash		basura						Ma skanu mi'in nuu ñu'u.	Don't throw garbage in the fire.	No tires basura en el fuego.													
tsa'ni								verb	to fight			luchar											noun	fight			pelea	lucha					
tsinu ini	tsínu íni					Cognition		verb	to believe			creer						Tsini ini yu ña kachu	I believe what you're saying.	Creo lo que dices.													
kutsio						Motion		verb	to move			mudarse									Social Behavior		interjection	excuse me			permiso	con permiso					
chinchee						Social Behavior		verb	to help			ayudar																					
ntakuaan						Social Behavior	Economy	verb	to buy	to purchase		comprar						Ta nine'e xu'un nantakuaan ntivi.	When I get money, I'll buy eggs.	Quando tengo dinero, compraré huevos.	Social Behavior	Economy		to buy			comprar				Ntiuni ta’an kue ntakuaan kue chuun nuu restaurante.	All three of us ordered chicken at the restaurant.	Todos los tres pedimos pollo al restaurante.
kuu	kuù							verb	to be			ser						¿Nchii hora kui?	What time is it?	¿Qué hora són?													
skuina						Crime	Economy	verb	to steal			robar																					
ya'a						Motion		verb	approach			approximarse	acercarse								Motion			to pass			passar						
ya'a tsa'a						Motion		verb	to slip			respaldar						..nikana tsa'i nikana kavi mancha nuu tsinu mancha tsa'a kuai ka.	..he slipped and fell all the way down to the bottom of the stairs.	...resbaló y se cayó todo el camino al fondo de las escaleras.													
ki'ni						Weapon		verb	to shoot			tirar																					
ntakuni						Cognition		verb	to recognize			reconocer												to realize			darse cuanta de						
sana ini						Cognition		verb	to forget			olividar	olividarse de					Ma sana ino sa'an ko	Let's not forget our language	Mo olividamos nuestra idioma													
ntsichi						Hygene	health	verb	to shower			ducharse						Ntakoo ra ntsichi	I woke up and showered	Me despierté y me duché													
sana nuu								verb	to make a mistake			cometar un error																					
tatu						health		verb	to rest			descansar																					
kuu ntitatu						health		verb	to rest			descansar						kunti tatu yu	I'm resting	Estoy descansando													
ntoyo						Posture		verb	to lay down			establecerse						Ika ntsintoyo na ra ntsi’i na	There they laid down and died.	Allí, se establecieron y murieron.													
ntakoo						Sleep		verb	to wake up			despertarse						Ntakoo ra ntsichi	I woke up and showered	Me despierté y me duché													
ntakuiin						Posture		verb	to get up	to stand up		levantarse	ponerse de pie																				
kantu'u						Posture		verb	to sit down			sentarse						Ta tsa kantui’i nuu ñu’u ntsini so’i in ntusu yu’u:	When they were sitting on the ground they heard a sound from the door:	Cuando se sentaban por el piso oyeron un sonido de la puerta:													
nchai						Daily Life		noun	food			comida																					
tikoo	ti˧ko˥˩o˧					food		noun	tamale			tamal																					
suvi						food		noun	sweet tamale			tamal dulce																					
moli						food	Sauce	noun	mole			mole																					
kantu						food		noun	soup			caldo						kantu stiki	beef soup	caldo de res													
ñá kiku						Occupation		noun	seamstress			costurera																					
chaa xiko						Occupation		noun	vendor			vendedor																					
skaka						Transportation	Motion	verb	to drive			manejar																					
kuu						Biology		verb	to die			morir						Tsi'i yu.	I'm dying.	Estoy muriendo.													
ku'u						health		verb	to get sick			enfermar																					
nisa						Quantity	Finance	adv	how much			cuánto						¿Nisa ya'vi?	How much does it cost?	¿Cuánto cuesta?													
tsaan ni								adv	also			también																					
tuku								adv	also			también																					
Xoo koo va'a ni inka tuku kuia								phrase	happy birthday			feliz cumpleaños																					
Kua'cha kii ni kaku								phrase	happy birthday			feliz cumpleaños																					
yuku						Agriculture		noun	furrow			surco																					
tunto'o								noun	problem			problema						vatsi tunto'o nuu ko	we will have problems	vamos a tener problemas													
vatsi						Motion		verb	come			venir						Tuu vatsi karru ka	I can see the car coming.	Miro la coche que llega.				come from			venir de				Vatsi̠ Snuviko	I'm from Mixtepec	Vengo de  Mixtepec
ka'nti	ká'ndi							verb	to explode																								
ñaka'nti	ñaká'ndi							noun	explosion			explosión												fireworks			cohete						
kaku	kakú					Biology		verb	be born			nacer						Nikaku̠ nuu Snuviko	I was born in Mixtepec	Nací en Mixtepec													
ntikoo sooti						Biology		noun	shell			cascara																					
tinto'o luu						Tools	Utensils	noun	cup			copa					Small cup, such as a coffee cup.																
tintoo ka'nu						Tools	Utensils	noun	pitcher			járro	cántaro																				
yoo	jòò					Tools	Container	noun	jug			járra					big jug																
tinana soo	tínana soó					Vegitable	fruit	noun									small green tomatoe-like fruit with shell																
soo	sòó							noun	paper skin			cascara					Paper like cover occuring on certain fruits, vegitables and nuts.																
chaku						living being		noun	living being			ser vivo																					
tirri	tiríí					Insect	Bee	noun	bumblebee			abejorro																					
tirri tina						Insect	Bee	noun	dog bumble bee			abejorro "de perro"					a type of bumble bee																
tirri si'vi						Insect	Bee	noun	poop bumble bee			abejorro de mierda					A type of bumble bee which makes home from animal feces.																
tirri tivaya						Insect	Bee	noun	pumpkin flower bumblebee			flor de calabaza abejorro					A type of bumble bee which likes pumpkin flower.																
tivaya						botany	Pumpkin	noun	pumpkin flower			flor de calabaza																					
si'vi	sìʔvi					Bodily Function		noun	poop	shit	crap	caca																					
kua'a ka ichi								verb	to allow	to permit		permitir						ma kua'a ka yu ichi	I'm not allowing this	No le permito													
